what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779772210
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779772644
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779773037
activated,view,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.VariableView",1300779774867
activated,view,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.DebugView",1300779817988
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779818067
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779818766
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779819206
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779819662
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Resume",1300779820050
executed,command,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.commands.Terminate",1300779833624
closed,view,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.MemoryView",1300779833878
closed,view,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.RegisterView",1300779833934
closed,view,org.eclipse.debug.ui,3.7.0.v20110124a,"org.eclipse.debug.ui.ModuleView",1300779833969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300779837803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780056623
activated,perspective,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui.CPerspective",1300780060692
activated,editor,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui.editor.CEditor",1300780060799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780068498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780160035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780497815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780500068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780505920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1300780509031
